title,budget_new,runtime,genres,genres_new,revenue
Creepshow,8000000,120,Horror,5,21028755
Crime After Crime,22531334,95,Documentary,9,58840
Crime Story,22531334,103,Thriller,7,194720
Crimson Tide,53000000,116,Action,3,157387195
Crocodile Dundee II,22531334,110,Adventure,4,239606210
Crooked Arrows,13000000,95,Drama,1,1832541
Cropsey,22531334,85,Documentary,9,35456
Crossing Over,25000000,113,Crime,6,1037335
Crossover,5800000,95,Action,3,7000000
Crossroads,12000000,93,Action,3,61141030
"Cry, Onion!",22531334,0,Western,18,39598448
Cry-Baby,11000000,85,Comedy,2,8266343
Cuban Rafters,22531334,120,Documentary,9,62153
Cure,20000,111,Crime,6,99000
Curse of the Pink Panther,11000000,109,Crime,6,4491986
Cut and Run,22531334,90,Adventure,4,373530
Cutthroat Island,98000000,119,Action,3,10017322
Czech Dream,22531334,90,Crime,6,17393
D.A.R.Y.L.,22531334,100,Family,13,7840873
D.O.A.,22531334,96,Mystery,14,12706478
Dad,19000000,117,Drama,1,19738015
Daddy Day Camp,6000000,89,Comedy,2,18197398
Daddy Day Care,60000000,92,Comedy,2,164433867
Daddy's Dyin'... Who's Got the Will?,22531334,95,Comedy,2,1373728
Daddy's Little Girls,10000000,100,Comedy,2,31609243
Dances with Wolves,22000000,181,Adventure,4,424208848
Dangal,10400000,161,Drama,1,310000000
Dante's Peak,116000000,108,Action,3,178127760
Dark Angel,7000000,91,Action,3,9229401
Dark Blue,15000000,118,Action,3,9237470
Dark City,27000000,100,Mystery,14,27200316
Dark Places,20000000,113,Drama,1,208588
Dark Tide,25000000,113,Thriller,7,432274
Darkman,16000000,96,Action,3,48878502
Day for Night,22531334,115,Comedy,2,17808
Day Watch,4200000,132,Fantasy,10,38862717
Daybreakers,20000000,98,Fantasy,10,51416464
Dazed and Confused,6900000,102,Comedy,2,7993039
Dead & Buried,3000000,94,Horror,5,216166
Dead Bang,22531334,105,Action,3,8125592
Dead Poets Society,16400000,129,Drama,1,235860116
Dead Ringers,13000000,115,Drama,1,8038508
Dead Snow,800000,91,Horror,5,1984662
Dead Snow 2: Red vs. Dead,22531334,100,Horror,5,37473
Deadfall,12000000,95,Crime,6,66351
Deadfall,10000000,98,Crime,6,18
Deadpool,58000000,108,Action,3,783112979
"Dear Guest, When Will You Leave?",3750000,155,Comedy,2,5000000
Dear Zindagi,4300000,149,Drama,1,3376375
Death at a Funeral,9000000,90,Comedy,2,46
Death Note,20000000,126,Fantasy,10,27793200
Death on the Nile,7920000,140,Mystery,14,14560084
Death Race,45000000,105,Action,3,73762516
Death Sentence,20000000,105,Action,3,16974459
Death Wish 5: The Face of Death,5000000,95,Action,3,1702394
Deathwatch,22531334,94,Drama,1,2270658
December Boys,4000000,105,Drama,1,46474
Deep Blue Sea,60000000,105,Action,3,73648228
Deep Rising,45000000,106,Adventure,4,11203026
DeepStar Six,22531334,105,Action,3,8143225
Deepwater Horizon,110000000,107,Drama,1,121790373
Deewane Huye Paagal,22531334,150,Drama,1,355962
Defence of the Realm,22531334,96,Action,3,750000
"Definitely, Maybe",22531334,112,Comedy,2,55447968
Delhi Dance,22531334,95,Drama,1,30292
Delta Force 2: The Colombian Connection,22531334,111,Action,3,6698361
Demolition Man,57000000,115,Crime,6,159055768
Denial,10000000,109,Drama,1,4073489
Dennis the Menace,35000000,94,Family,13,117270765
Departures,22531334,130,Drama,1,69932387
Desert Flower,22531334,120,Drama,1,14631377
Desert Hearts,350000,96,Drama,1,2400000
Desperado,7000000,104,Thriller,7,25405445
Desperately Seeking Susan,5000000,104,Comedy,2,27400000
Detective Dee and the Mystery of the Phantom Flame,13000000,119,Action,3,51723285
Dheepan,22531334,115,Crime,6,248392
Dhoom 3,19500000,172,Action,3,91000000
Diamonds Are Forever,7200000,120,Adventure,4,116019547
Diary of a Hitman,22531334,90,Thriller,7,31815
Diary of a Wimpy Kid: Dog Days,22000000,94,Comedy,2,77112176
Diary of a Wimpy Kid: Rodrick Rules,21000000,99,Family,13,72417394
Diary of a Wimpy Kid: The Long Haul,22000000,91,Comedy,2,40120144
Dick,13000000,94,Comedy,2,27500000
Die Another Day,140000000,133,Adventure,4,431971116
"Die, Mommie, Die!",22531334,90,Comedy,2,320092
Difret,22531334,96,Drama,1,49667
Dil Se..,5200000,163,Drama,1,13000000
Dinosaur,127500000,82,Animation,8,354248063
Dirty Dancing,6000000,100,Drama,1,213954274
District 9,30000000,112,Science Fiction,12,210819611
District B13,12000000,84,Action,3,9584131
Disturbia,20000000,105,Thriller,7,117760134
Django,22531334,93,Action,3,17277
Doctor Dolittle,71000000,85,Comedy,2,294456605
Doctor Who,5000000,89,TV Movie,20,42000000
Dolphin Tale,37000000,113,Drama,1,95404397
Dom Hemingway,22531334,93,Comedy,2,523511
Domestic Disturbance,75000000,89,Mystery,14,54249294
Don Juan DeMarco,25000000,97,Romance,11,22200000
Donnie Brasco,35000000,127,Crime,6,41954997
Don's Plum,22531334,89,Drama,1,6297
Don't Breathe,9900000,88,Crime,6,157100845
Don't Say a Word,50000000,113,Thriller,7,100020092
Don't Tell Mom the Babysitter's Dead,10000000,105,Comedy,2,25196249
Don't Think Twice,22531334,90,Comedy,2,4417667
Doom,60000000,105,Adventure,4,55987321
Dope,700000,103,Crime,6,17986781
Dorian Gray,22531334,112,Fantasy,10,4706919
Double Impact,15000000,110,Thriller,7,30102717
Double Jeopardy,70000000,105,Crime,6,177841558
Down,15000000,111,Action,3,163169
Downfall,18339750,156,Drama,1,92180910
Downtown,22531334,96,Action,3,2346150
Dr. Cabbie,22531334,101,Comedy,2,223003
Dr. Giggles,22531334,95,Comedy,2,8403433
Dracula,355000,72,Horror,5,1012189
Dracula 2000,28000000,99,Thriller,7,33000337
Dracula Untold,70000000,92,Horror,5,215529201
Dracula: Prince of Darkness,280379,90,Horror,5,364937
Dragon Tiger Gate,22531334,94,Action,3,8685526
Dragonfly,60000000,104,Drama,1,52322400
Dream House,50000000,84,Drama,1,38502340
Dreamcatcher,68000000,136,Drama,1,75715436
Dreamgirls,70000000,134,Drama,1,154937680
Dreaming of Space,2000000,90,Drama,1,696681
Dressed to Kill,6500000,105,Horror,5,31899000
Drinking Buddies,22531334,90,Romance,11,343341
Drive,15000000,100,Drama,1,78054825
Drive Angry,50000000,105,Fantasy,10,28931401
Driven,94000000,116,Action,3,54744738
Drop Dead Fred,6788000,103,Comedy,2,13878334
Drop Dead Gorgeous,10000000,98,Comedy,2,10571408
Drowning Mona,16000000,96,Comedy,2,15427192
Drumline,20000000,118,Drama,1,57588485
"Dude, Where’s My Car?",13000000,83,Comedy,2,73180723
Due Date,65000000,95,Comedy,2,211780824
Duplicity,78146652,125,Romance,11,60000000
Dylan Dog: Dead of Night,20000000,107,Action,3,4634062
Earth Girls Are Easy,10000000,100,Music,16,3916303
Earthquake,7000000,123,Action,3,79666653
East of Eden,1,115,Drama,1,5
Easy on the Eyes,2153912,83,Comedy,2,4864560
Eat Pray Love,60000000,133,Drama,1,204594016
Ed Wood,18000000,127,Comedy,2,5887457
Eddie Murphy Raw,22531334,90,Comedy,2,50504655
Eddie the Eagle,23000000,106,Comedy,2,46152411
Eden Lake,22531334,91,Horror,5,3983997
Edge of Darkness,80000000,117,Crime,6,74901339
Edward II,22531334,90,History,17,694438
Eight Below,40000000,120,Adventure,4,120455994
El Estudiante,22531334,95,Foreign,19,170000
El Mariachi,220000,81,Action,3,2040920
El pico 2,22531334,120,Drama,1,930349
El robobo de la jojoya,22531334,82,Comedy,2,3370574
Elections Day 2,22531334,105,Comedy,2,4314688
Elektra,43000000,97,Action,3,56681566
Elektra Luxx,22531334,98,Action,3,10
Elevator to the Gallows,22531334,88,Drama,1,263404
Elizabeth,30000000,124,Drama,1,82150642
Elizabethtown,57000000,123,Comedy,2,52034889
Elmer Gantry,3000000,146,Drama,1,10400000
Elvis & Nixon,22531334,87,Comedy,2,1055287
Elysium,115000000,109,Science Fiction,12,286140700
Empire,4000000,90,Action,3,18591272
Empire State,11000000,94,Action,3,3639345
End of Watch,7000000,109,Crime,6,48126384
Enemy Mine,40000000,108,Drama,1,12303411
Enemy of the State,90000000,132,Action,3,250649836
Enter the Void,13000000,161,Fantasy,10,754249
Enthiran,26400000,155,Action,3,62000000
Epic,100000000,102,Animation,8,268426634
Eraser,100000000,115,Action,3,242295562
Escape from L.A.,50000000,97,Action,3,42277365
Escape from New York,6000000,99,Science Fiction,12,50244700
Evan Almighty,175000000,96,Fantasy,10,173000000
Evangelion: 2.0 You Can (Not) Advance,22531334,108,Animation,8,41162041
Everest,55000000,121,Adventure,4,203427584
Every Day,22531334,93,Drama,1,18000
Every Thing Will Be Fine,22531334,118,Drama,1,8034
Every Which Way But Loose,5,110,Action,3,85
Everybody Dies But Me,22531334,80,Drama,1,235432
Everybody Wants Some!!,10000000,116,Comedy,2,3400278
Everyone's Hero,22531334,88,Action,3,16627188
Everything is Illuminated,7000000,106,Comedy,2,2697930
Evil Dead,17000000,91,Horror,5,97542952
Evil Dead II,3600000,84,Horror,5,5923044
Evita,55000000,134,History,17,141047179
Ex Machina,15000000,108,Drama,1,36869414
Excalibur,11000000,140,Fantasy,10,34967437
Exit to Eden,22531334,113,Thriller,7,6841570
Exit Wounds,50000000,101,Action,3,79958599
Exorcist: The Beginning,80000000,114,Horror,5,78000586
Exposed,22531334,102,Drama,1,1787926
Exterminators of the Year 3000,22531334,90,Science Fiction,12,606694
Extract,8000000,92,Comedy,2,10848783
Extraction,22531334,83,Action,3,16775
Extraordinary Measures,31000000,105,Drama,1,15134293
Extreme Measures,38000000,118,Drama,1,17380126
Extreme Ops,40000000,93,Action,3,10959475
Extremities,22531334,89,Drama,1,13418091
Eye in the Sky,13000000,102,Drama,1,18704595
Eye of the Dolphin,2500000,100,Drama,1,71904
Eyes Wide Shut,65000000,159,Mystery,14,162091208
Facing Windows,22531334,106,Drama,1,15530077
Fading Gigolo,22531334,90,Comedy,2,2681345
Fair Game,22000000,108,Drama,1,24188922
Faithful,13000000,91,Comedy,2,9789900
Fallen,22531334,124,Thriller,7,25232289
Falling Down,25000000,113,Crime,6,40903593
Falling in Love,22531334,102,Drama,1,11129057
Fan,16000000,142,Action,3,29251596
Fanaa,5300000,168,Action,3,22175908
Fanny & Alexander,22531334,188,Fantasy,10,4971340
Fantastic Four,100000000,106,Action,3,330579719
Fantastic Four,120000000,100,Action,3,167977596
Fantastic Mr. Fox,40000000,87,Adventure,4,46471023
Far from the Madding Crowd,22531334,119,Romance,11,30229977
"Faraway, So Close!",22531334,144,Drama,1,810455
Fargo,7000000,98,Crime,6,60611975
Fast & Furious,85000000,107,Action,3,363164265
Fast Times at Ridgemont High,4500000,90,Comedy,2,27092880
"Fast, Cheap & Out of Control",22531334,83,Documentary,9,832735
Fatal Attraction,14000000,119,Romance,11,320145693
Father Hood,22531334,95,Action,3,3418141
Father of the Bride Part II,22531334,106,Comedy,2,76578911
FBI: Frikis buscan incordiar,22531334,85,Comedy,2,928391
FC Venus,2196531,107,Comedy,2,2411594
Feast of Love,22531334,101,Comedy,2,5741608
FernGully: The Last Rainforest,22531334,76,Fantasy,10,32710894
Ferris Bueller's Day Off,6000000,103,Comedy,2,70136369
Fever Pitch,30000000,103,Comedy,2,50451307
Fido,8000000,91,Romance,11,426224
Field of Dreams,22531334,107,Drama,1,84431625
Fight Club,63000000,139,Drama,1,100853753
Filth,5000000,97,Crime,6,9114264
Final Destination 2,26000000,90,Horror,5,90426405
Final Destination 3,25000000,93,Horror,5,117719158
Final: The Rapture,22531334,90,Thriller,7,92100
Find Me Guilty,13000000,125,Drama,1,2636637
Finding Dory,200000000,97,Adventure,4,1028570889
Finding Forrester,43000000,136,Drama,1,80049764
Fire and Ice,1200000,81,Animation,8,760883
Fired Up!,20000000,90,Comedy,2,18599102
Fireproof,500000,122,Drama,1,33456317
Firewalker,22531334,104,Action,3,11949484
First Blood,15000000,93,Action,3,125212904
First Knight,55000000,134,Action,3,127600435
First Love,22531334,100,Drama,1,9392
First Snow,22531334,101,Drama,1,382267
First Strike,22531334,107,Action,3,21890845
Fish Tank,3000000,123,Drama,1,2357852
Fishtales,14000000,94,Fantasy,10,9216
Five Graves to Cairo,855000,96,Thriller,7,1200000
Flashback,22531334,108,Action,3,6488144
Flashbacks of a Fool,22531334,110,Drama,1,1107542
Flatliners,26000000,115,Drama,1,61489265
Flawless,20000000,108,Crime,6,6819587
Fletch,8000000,98,Comedy,2,59612888
Fletch Lives,8045760,95,Comedy,2,35150960
Flicka,15000000,95,Drama,1,21000000
Flight of the Navigator,22531334,90,Family,13,18564613
Flipper,25530000,95,Adventure,4,20080020
Florence Foster Jenkins,29000000,110,Comedy,2,48902953
Flyboys,60000000,140,Action,3,17800000
Folks!,22531334,107,Comedy,2,6132924
Following,6000,69,Crime,6,48482
For Keeps,22531334,98,Drama,1,17514553
For Me and My Gal,802000,104,Drama,1,4371000
For Your Eyes Only,28000000,127,Adventure,4,195312802
Forever Fever,1070000,95,Comedy,2,570000
Four Brothers,45000000,109,Action,3,92374674
Four Christmases,80000000,88,Comedy,2,163733697
Four Days in September,22531334,110,Action,3,310724
Four Lions,967686,101,Comedy,2,4270000
Four Weddings and a Funeral,6000000,117,Comedy,2,254700832
Fracture,22531334,113,Thriller,7,91354215
Frances Ha,22531334,86,Comedy,2,4069826
Frank,22531334,95,Comedy,2,645186
Frank & Lola,22531334,88,Drama,1,9188
Frankenweenie,39000000,87,Animation,8,35287788
Freaky Friday,26000000,97,Comedy,2,110230332
Fred Claus,100000000,116,Action,3,97838349
Freddy vs. Jason,30000000,97,Horror,5,114908830
Free Birds,55000000,91,Animation,8,110000000
Free State of Jones,50000000,139,War,15,25035950
Free Style,22531334,94,Drama,1,140987
Free Willy,20000000,112,Family,13,153698625
Freedomland,37665000,113,Drama,1,14655628
Freeheld,7000000,103,Romance,11,573335
Frequency,31000000,118,Crime,6,68106245
Frida,12000000,123,Drama,1,56298474
Friday,3500000,91,Comedy,2,28215918
Friday the 13th,550000,95,Horror,5,59754601
Friday the 13th Part 2,1250000,87,Horror,5,21722776
Friday the 13th Part III,4000000,95,Horror,5,36690067
Friday the 13th Part VI: Jason Lives,3000000,86,Horror,5,19472057
Friday the 13th Part VIII: Jason Takes Manhattan,5000000,100,Horror,5,14000000
Friday the 13th: A New Beginning,2200000,92,Horror,5,21930418
Friends & Lovers,22531334,103,Comedy,2,94633
Fright Night,17000000,106,Horror,5,24922237
From Beyond,4500000,86,Horror,5,1261000
From Dusk Till Dawn,19000000,108,Horror,5,25836616
From Hell,35000000,122,Horror,5,74558115
From Prada to Nada,93,107,Comedy,2,2500000
From the Hip,22531334,111,Comedy,2,9518342
From the Land of the Moon,10300000,120,Drama,1,47748
From Within,22531334,89,Horror,5,66456
Frozen,22531334,93,Thriller,7,3065860
Fuck You Goethe 2,22531334,115,Comedy,2,83027924
Full Frontal,2000000,96,Comedy,2,2506446
Fun with Dick and Jane,100000000,90,Comedy,2,202026112
Furious 7,190000000,137,Action,3,1506249360
Furry Vengeance,35000000,92,Comedy,2,39340177
G,22531334,96,Drama,1,3020784
Gabbar Is Back,11000000,128,Drama,1,41000000
Gaby: A True Story,5000000,110,Drama,1,125400
Gandhi,22000000,191,Drama,1,77737889
Gang Related,22531334,102,Action,3,5790448
Gangs of New York,100000000,167,Drama,1,193772504
Gangster Squad,60000000,113,Crime,6,105200903
Gardens of Stone,22531334,111,Drama,1,5262047
Gary Gulman: It's About Time,22531334,53,Comedy,2,500
Gentleman's Agreement,2000000,118,Drama,1,7800000
Get Carter,63600000,102,Action,3,19412993
Get on the Bus,2400000,120,Drama,1,5731103
Get on Up,22531334,139,Drama,1,31911598
Get Out,5000000,104,Mystery,14,252434250
Get Smart,80000000,110,Action,3,230685453
Ghajini,9100000,183,Thriller,7,76000000
Ghost,22000000,127,Fantasy,10,505000000
Ghost,22531334,116,Mystery,14,9833553
Ghost in the Shell,22531334,83,Action,3,2287714
Ghost Rider: Spirit of Vengeance,57000000,95,Action,3,149217355
Ghost Ship,35000000,91,Horror,5,68349884
Ghostbusters II,37000000,108,Comedy,2,215394738
Ghosts Can't Do It,22531334,90,Fantasy,10,25000
Ghosts of Mars,28000000,98,Action,3,14010832
Gigli,54000000,121,Drama,1,7266209
Girl with a Pearl Earring,22531334,101,Drama,1,31466789
Glass: A Portrait of Philip in Twelve Parts,22531334,119,Documentary,9,20
Glee: The Concert Movie,9000000,84,Documentary,9,18663238
Glen Campbell: I'll Be Me,22531334,116,Documentary,9,365522
Glory,18000000,122,War,15,26828365
Glory Road,22531334,118,Drama,1,42647449
Gnomeo & Juliet,36000000,84,Animation,8,189712432
Go,6500000,98,Crime,6,28451622
Goal!: The Dream Begins,30000000,118,Drama,1,27610873
Goat,22531334,102,Drama,1,23020
Gods and Generals,56000000,214,Drama,1,12923936
God's Not Dead 2,5000000,121,Drama,1,23507567
Godzilla 1985,2000000,87,Action,3,4100000
Going by the Book,22531334,102,Action,3,14961069
Going My Way,22531334,130,Drama,1,16300000
Gold,20000000,120,Thriller,7,7227038
GoldenEye,58000000,130,Adventure,4,352194034
Gone Girl,61000000,145,Mystery,14,369330363
Good Kill,22531334,104,Action,3,316472
"Good Night, and Good Luck.",7000000,93,Drama,1,54600000
Goodbye Pork Pie,300000,105,Adventure,4,1400000
Goon,22531334,92,Comedy,2,6483963
Gosford Park,19800000,137,Drama,1,87754044
Gothika,40000000,98,Horror,5,141591324
Goya's Ghosts,50000000,114,Drama,1,9448082
Grand Hotel,700000,112,Drama,1,2594000
Grand Masti,5500000,140,Comedy,2,47000000
Grandma's Boy,22531334,94,Comedy,2,6538177
Grandmaster,120000,130,Mystery,14,130000
Graveyard Shift,10500000,89,Drama,1,11582891
Gravity,105000000,91,Science Fiction,12,716392705
Gray Lady Down,22531334,111,Thriller,7,5438927
Green Zone,100000000,115,War,15,94882889
Gremlins,11000000,106,Fantasy,10,153083102
Gremlins 2: The New Batch,50000000,106,Comedy,2,41482207
Gridiron Gang,30000000,125,Action,3,41480851
Grimsby,35000000,83,Action,3,25182929
Groundhog Day,14600000,101,Romance,11,70906973
Guardians of the Galaxy,170000000,121,Action,3,773328629
Guardians of the Galaxy Vol. 2,200000000,137,Action,3,863416141
Guess Who,35000000,105,Comedy,2,68915888
Guess Who's Coming to Dinner,4000000,108,Comedy,2,56666667
Guilty as Sin,22531334,107,Drama,1,22886222
Gun Shy,10000000,101,Action,3,1631839
Gunfight at the O.K. Corral,22531334,122,Western,18,11750000
Gung Ho,22531334,111,Comedy,2,36611610
Gwendoline,22531334,88,Adventure,4,1337274
Hackers,20000000,107,Action,3,7563728
Haiku Tunnel,22531334,88,Comedy,2,251058
Hallam Foe,8000000,95,Drama,1,60641
Halloween 4: The Return of Michael Myers,5000000,88,Horror,5,17768757
Halloween 5: The Revenge of Michael Myers,5000000,96,Horror,5,11642254
Halloween: Resurrection,13000000,94,Horror,5,37664855
Halo Legends,100000,120,Action,3,1000000
Hamlet,22531334,130,Drama,1,20710451
Hammer of the Gods,22531334,99,History,17,641
Hannah and Her Sisters,6400000,107,Comedy,2,40084041
Hannah Montana: The Movie,35000000,102,Comedy,2,155545279
Hannibal,87000000,131,Crime,6,351692268
Hansel & Gretel: Witch Hunters,50000000,88,Fantasy,10,224803475
Happiness,3000000,139,Comedy,2,2807390
Happy Accidents,22531334,110,Comedy,2,688510
Happy Days,440141,160,Drama,1,2640850
Happy Family,800000,83,Comedy,2,966214
Happy Feet,100000000,108,Animation,8,384335608
Happy Gilmore,12000000,92,Comedy,2,41205099
Happy New Year,22531334,85,Comedy,2,41232
Happy Times,1900000,102,Drama,1,240093
Happy Weekend,22531334,,Comedy,2,65335
Happythankyoumoreplease,22531334,100,Comedy,2,215576
Hard Candy,950000,103,Drama,1,7022209
Hard to Kill,10000000,96,Action,3,47410000
Harold & Kumar Escape from Guantanamo Bay,12000000,107,Comedy,2,43493123
Harper,3500000,121,Action,3,12000000
Harry and the Hendersons,22531334,110,Comedy,2,49998613
Harry Potter and the Chamber of Secrets,100000000,161,Adventure,4,876688482
Harry Potter and the Half-Blood Prince,250000000,153,Adventure,4,933959197
Harsh Times,2000000,120,Crime,6,5967038
Hart's War,70000000,125,Drama,1,32287044
Harvard Beats Yale 29-29,22531334,105,Documentary,9,268431
Hatchet II,2500000,89,Horror,5,52604
Haunted Honeymoon,22531334,82,Comedy,2,8033397
Hawaii,15000000,189,Drama,1,34562222
He Got Game,25000000,136,Drama,1,21567853
He Named Me Malala,22531334,87,Documentary,9,2642899
Head On,22531334,104,Drama,1,378667
Heart and Souls,22531334,104,Fantasy,10,16589540
Heartbeats,22531334,97,Drama,1,62985
Heartbreak Ridge,15000000,130,Action,3,42724017
Heathers,22531334,102,Thriller,7,1108462
Heaven is for Real,12000000,99,Drama,1,101332962
Heaven's Gate,44000000,219,Action,3,3484331
Heavy Traffic,950000,76,Animation,8,1500000
Hector and the Search for Happiness,22531334,114,Adventure,4,1124445
Hell & Back,22531334,86,Fantasy,10,157768
Hello Mary Lou: Prom Night II,22531334,97,Horror,5,2683519
"Hello, Dolly!",24000000,146,Comedy,2,33208099
Hellraiser III: Hell on Earth,5000000,93,Horror,5,12534961
Hellraiser: Bloodline,4000000,86,Horror,5,16675000
He-Man and She-Ra: The Secret of the Sword,22531334,100,Animation,8,7
Henry Poole Is Here,22531334,99,Comedy,2,1829917
Henry's Crime,12000000,108,Crime,6,204940
Herbie Fully Loaded,50000000,101,Comedy,2,66002004
Hercules,22531334,98,Action,3,10676194
Hercules,85000000,93,Animation,8,252712101
Heropanti,4200000,146,Romance,11,10000000
Hey Ram,3900000,199,Drama,1,4900000
"Hey, Boo: Harper Lee & To Kill a Mockingbird",22531334,82,Documentary,9,26488
Hidalgo,100000000,136,Western,18,108103450
Hidden Figures,25000000,127,Drama,1,230698791
High Anxiety,3400000,94,Comedy,2,31063038
High Art,22531334,101,Drama,1,1929168
High Crimes,42000000,115,Drama,1,63781810
High Hopes,22531334,112,Comedy,2,1192322
High Road to China,22531334,105,Adventure,4,28400000
High Spirits,22531334,99,Horror,5,7399763
High Strung,22531334,96,Drama,1,53447
Higher Learning,22531334,127,Romance,11,38290723
Highlander II: The Quickening,30000000,91,Action,3,15556340
Highlander: The Final Dimension,26000000,99,Action,3,36800000
Highway to Hell,9000000,94,Fantasy,10,26055
Hillary's America: The Secret History of the Democratic Party,5000000,107,History,17,13000000
Hipsters,15000000,130,Drama,1,16810383
His Secret Life,22531334,106,Drama,1,215339
Hitchcock,22531334,98,Drama,1,23570541
Hitler's Kaput!,3000000,99,Comedy,2,9713500
Hitman,24000000,89,Action,3,99965753
Hollywoodland,22531334,126,Drama,1,16803753
Holy Hell,22531334,100,Documentary,9,16905
Holy Motors,22531334,115,Drama,1,641100
Home for the Holidays,22531334,103,Comedy,2,17519169
Home on the Range,110000000,76,Animation,8,103951461
Home Run,1200000,114,Drama,1,2861020
Homeward Bound II: Lost in San Francisco,22531334,89,Adventure,4,32709423
Honey I Blew Up the Kid,40000000,89,Adventure,4,58662452
Honeymoon,1000000,87,Horror,5,9318
Hood of Horror,5000000,84,Action,3,25900
Hooked on the Game 2. The Next Level,3500000,0,Action,3,2294357
Hoop Dreams,700000,171,Documentary,9,7830611
Hoosiers,9000000,114,Drama,1,28607524
Horton Hears a Who!,85000000,88,Animation,8,297138014
Hot Pursuit,22531334,93,Comedy,2,4215859
Hot Pursuit,35000000,87,Action,3,51680201
Hot Tub Time Machine 2,14000000,93,Comedy,2,12314651
Hotel Transylvania 2,80000000,89,Animation,8,473226958
House Calls,22531334,98,Comedy,2,28460702
House of 1000 Corpses,7000000,89,Horror,5,16829545
House of Games,22531334,102,Crime,6,2585639
House of the Dead,7000000,90,Horror,5,13818181
House of Wax,658000,90,Crime,6,23800000
House on Haunted Hill,19000000,93,Horror,5,40846082
Housekeeping,22531334,116,Comedy,2,1083282
How About You...,9000000,100,Comedy,2,706000
How Do You Know,120000000,121,Comedy,2,48668907
How to Be Single,38000000,110,Comedy,2,112343513
How to Eat Fried Worms,22531334,98,Comedy,2,13022756
How to Train Your Dragon 2,145000000,102,Fantasy,10,609123048
Howard the Duck,37000000,110,Comedy,2,37962774
Howards End,22531334,140,Drama,1,25966555
Hudson Hawk,65000000,100,Action,3,17218080
Human Capital,6000000,111,Drama,1,5809330
Hummingbird,20000000,100,Action,3,8352885
Hunger,22531334,96,Drama,1,2724474
Hustler White,22531334,79,Romance,11,127251
Hyde Park on Hudson,22531334,94,Comedy,2,8887603
Hysteria,22531334,100,Comedy,2,9504139
I Am Ali,22531334,111,Documentary,9,7205
I Am Legend,150000000,101,Drama,1,585349010
I Don't Know How She Does It,24000000,89,Romance,11,30551495
I Know What You Did Last Summer,17000000,100,Horror,5,125586134
"I Love You, Man",41000000,105,Comedy,2,91636986
I Saw the Light,13000000,123,Drama,1,1646788
I Spit on Your Grave,2000000,108,Thriller,7,572809
I Still Know What You Did Last Summer,65000000,100,Horror,5,40002112
"I, Daniel Blake",22531334,100,Drama,1,260354
Ice Age,59000000,81,Animation,8,383257136
Ice Age: Collision Course,105000000,100,Adventure,4,408579038
Ice Age: Dawn of the Dinosaurs,90000000,94,Animation,8,886686817
Ice Age: The Meltdown,80000000,91,Animation,8,660940780
Ida,2159280,80,Drama,1,15298355
Identity,30000000,90,Mystery,14,90259536
Identity Thief,35000000,111,Comedy,2,173965010
Idiocracy,30000000,84,Adventure,4,495303
Idle Hands,25000000,92,Thriller,7,4152230
If I Stay,11000000,106,Drama,1,78874843
Ikiru,22531334,143,Drama,1,55240
Illegal,22531334,90,Drama,1,404
Illegal Tender,22531334,108,Drama,1,3106835
I'm No Angel,225000,87,Comedy,2,2850000
I'm Not There.,20000000,135,Drama,1,4001121
I'm Staying,1000000,112,Comedy,2,404785
In Bruges,15000000,107,Comedy,2,34533783
In the Cut,12000000,119,Mystery,14,23
In the Forests of Siberia,3500000,105,Drama,1,1492523
In the Heart of the Sea,100000000,122,Thriller,7,93820758
In the House,22531334,105,Comedy,2,11879046
In the Line of Fire,40000000,128,Action,3,176997168
In the Loop,22531334,106,Comedy,2,6149791
In the Valley of Elah,23000000,124,History,17,29541790
In This Corner of the World,22531334,128,Animation,8,19204593
Incarnate,5000000,91,Horror,5,6341855
Indiana Jones and the Kingdom of the Crystal Skull,185000000,122,Adventure,4,786636033
Indiana Jones and the Last Crusade,48000000,127,Adventure,4,474171806
Indiana Jones and the Temple of Doom,28000000,118,Adventure,4,333000000
Infamous,13000000,110,Drama,1,1151330
Inferno,75000000,121,Thriller,7,220021259
Initial D,1549000,107,Action,3,7096000
Innerspace,22531334,120,Action,3,25893810
Innocent Voices,22531334,120,Drama,1,837000
InSight,22531334,92,Thriller,7,17011
Internal Affairs,22531334,114,Crime,6,27734391
Interview with the Vampire,60000000,123,Horror,5,223664608
Into the Storm,50000000,89,Action,3,160602194
Into the Wild,15000000,148,Adventure,4,56255142
Intolerable Cruelty,60000000,100,Crime,6,119940815
Inventing the Abbotts,22531334,110,Drama,1,5926128
Ip Man,11715578,108,Drama,1,21888598
Ip Man 3,36000000,105,Action,3,156844753
Ip Man: The Final Fight,22531334,100,Action,3,37884
Iraq in Fragments,22531334,94,Documentary,9,202000
Iron Sky,7500000,93,Action,3,8135031
It Came from Hollywood,5000000,80,Comedy,2,2091037
It Doesn't Hurt Me,22531334,101,Drama,1,1110566
It Might Get Loud,22531334,97,Documentary,9,1896244
It's All Gone Pete Tong,2000000,90,Drama,1,120620
It's Kind of a Funny Story,8000000,101,Comedy,2,6491240
Ivan Tsarevich & the Grey Wolf 2,22531334,85,Animation,8,18315000
Jaane Tu... Ya Jaane Na,2300000,155,Drama,1,11100000
Jab We Met,2300000,145,Drama,1,4600000
Jack,45000000,113,Comedy,2,58620973
